id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MYT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1.19,#N/A,0.12,0.008,#N/A,#N/A,#N/A,#N/A,40.01,0.02,0.59,0.8,8,0.2,1.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CRI,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,77.52,#N/A,5.99,733.28,2157.44,455,1411.17,1170.24,1872.72,7857,7387.14,1998.72,5871,1748.6,2955,4291.85,4544.84,7029.07,23330.7,32435.1,16167.6,20875.4,11265.7,8952.9,15596.1
HRV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1.12,9.23,0.06,1.52,563.01,6.43,1.81,913.13,1.49,3.36,350.77,17.6,8.96,5.64,104.7,28.63,6.71,14.78,4.39,5.63
CUB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1693.59,1441.8,1980.11,1647.83,3364.4,238.41,371.5,7923.37,1444,669,2444,3145,1278,406,506.5,307.05,282,123.4,159.6,89.59,14.96,110.23,107.6,43.3
CYP,#N/A,#N/A,0.004,#N/A,0.005,0.96,0.09,3.19,0.002,0.12,0.01,0.12,0.005,0.004,4.93,2.5,0.004,0.02,0.02,5.36,57.6,0.12,1.94,9.57,1.38,1.31,6.89,1.46,17.7,2.27,1.63,3.38,7.01
CZE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.67,23.66,51.72,23.36,66.83,42,140.8,14.71,5.17,6.04,2.62,3.28,10.16,4.71,37.59,7.63,12.9,14.16,16.07,8.05
BEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,3.06,#N/A,0.74,#N/A,4.49,1.11,0.00823,6.96,3.19,0.02,0.63,#N/A,21.49,31.74,0.05,0.01,291.67,28.19,28.2,389.69,22.75,#N/A,13.16795,425.36,69.79
DNK,0.94,10.44,5.92,36.26,6.5,0.41,7.1,25.61,9.7,54.9,28.06,39.6,21.4,11.19,29.9,110.1,32,58,44.13,24.2,35.91,25.62,14.15,104,32.03,56.1,76.06,136.85,55.54,56.08,54.16,43,42
DMA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2513,1387,#N/A,#N/A,3.34,7,2.95,101,29,82.76,10,6,4.53,8.7,#N/A,0.23,#N/A,339.2,1.1,0.03,1.4,59.9,248.3
DOM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2588,1714.16,3010.5,904.6,2888.28,4391.09,1341.3,1234.21,2341.92,1071.4,1307,1907.9,2293,729.84,#N/A,2246.4,5092.39,3785.53,2690.85,4651.76,4526.9,6700,9634.5
ECU,157,397.73,404.5,85.25,84.79,697.91,384.96,170.13,130.59,454.6,1245.26,1164.38,3892.01,1195.23,1789.94,4284.4,9533.97,3697.16,3854.2,10163.9,3308,12242,11212.3,6847.59,4778.81,43361.13,34249.1,25303.27,28232.81,65078.97,14613.81,19714.6,31146.82
SLV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,426.43,12.07,14,#N/A,#N/A,8163.87,#N/A,65,99,234.43,45.26,33.32,431.7,20.14,2068.06,2038.1,2704.31,32.73,101.71,4075.3,1347.9,442.39,150.24,649.8,373.52
GNQ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ETH_,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.1,0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,4.17,7.71,1.28,2.3523
ERI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EST,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.006,2.56,0.13,0.11,0.14,2.29,30.49,5.22,0.05,0.52,12.98,3.57,5.02,217.72,0.83,3.37
FRO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FLK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A
